,cluster_id,Restaurant Name,main_cuisine,Negative Sentiment,Positive Sentiment,Address
0,5,Bithy's Kitchen,Snacks,8.0,12.0,"Ba 2/2, Latif Kingdom, South Badda Road, Hatir Jheel (Behind Police Plaza Round Circle), Dhaka, 1212 Dhaka"
1,3,Shaad Kitchen,Bangladeshi,8.0,12.0,"Dhaka, Bangladesh"
2,4,Oh My Rolls (Picnic),Fast Food,2.0,18.0,"House 22, Road 13C, Block E, Banani, 1213 Dhaka"
3,3,Khichuri & Bhorta Bilash - Mirpur,Bangladeshi,7.0,13.0,"Dhaka, Bangladesh"
4,4,Cox's Bazar Chotpoti House,Fast Food,11.0,9.0,"House 37/ Road 3/ Block B/ Rampura, Banasree, 1219 Dhaka"
5,5,Coffee Lime,Beverage,5.0,15.0,"361/1 Old Elephant Road, SJ Jahanara imami Sarani Dhaka-1205, 1205 Dhaka"
6,3,Bhojon Roshik,Bangladeshi,20.0,0.0,"House 67/A , Dhaka Kustia Highway Road . Bus Malik Somiti Office , Boropull , Rajbari -7700, 7700 Rajbari"
7,3,Khanapina Restaurant,Bangladeshi,1.0,19.0,"Opposite of Eastern Yakub Plaza, Dhaka - Comilla - Chittagong Bypass Rd, Cumilla 3500, 3500 Comilla"
8,5,Khandaan's Kitchen,Chinese,18.0,2.0,"8/20 Salimullah Road.Mohammadpur.Dhaka-1207 1216 Dhaka, Dhaka Division, Bangladesh"
9,5,Green Garden Food & Kebab Mini Chinese,Chinese,7.0,13.0,"10/B,Avenue#1/25,Benaroshi polli,Mirpur,Dhaka, 1216 Dhaka"
10,3,The Dining Table,Bangladeshi,15.0,5.0,"Dhaka, Bangladesh"
11,5,Sushi Tei,Japanese,4.0,16.0,"House: 21, Road: 112, Gulshan 2, 1212 Dhaka"
12,3,Nazma's Kitchen,Bangladeshi,10.0,10.0,"Dhaka, Bangladesh"
13,5,Fuchka Bhai,Snacks,16.0,4.0,"Road # 46, Opposite to Landmark Tower, Gulshan 2, 1212 Dhaka"
14,4,Crunch-  Mirpur,Fast Food,4.0,16.0,"Signature Food Court 3 no Sujat Nagar, Sultan Mansion (Lift 8) Mirpur 12., 1216 Dhaka"
15,5,Halal Ghor BD - pandago,Dessert,20.0,0.0,"Dhaka, Bangladesh"
16,4,Pizza Burg - Banasree,Fast Food,15.0,5.0,"House: 23, Road: 5, Block: D, Banasree, 1219 Dhaka"
17,5,Pizzasthan,Italian,12.0,8.0,"Dhanmondi 32(sector 3), road 12/a, Dhanmondi lake,Dhaka, 1209 Dhaka"
18,5,Fish Fish,Seafood,8.0,12.0,"Dhaka, Bangladesh"
19,4,Golli.com,Fast Food,10.0,10.0,"Dhaka, Bangladesh"
20,5,Munmun's Kitchen,Asian,19.0,1.0,"1st floor,35/2 kazi nazrul islam avenue ,dhaka 1205, 1205 Dhaka"
21,3,Starbelly,Bangladeshi,7.0,13.0,"Dhaka, Bangladesh"
22,3,Allah'r Daan Biriyani House Shonkor,Bangladeshi,18.0,2.0,"236/1A Mawla Bari Pathshala Goli,Rayer Bazar., 1209 Dhaka"
23,7,Kapara Kafe,Indian,6.0,14.0,"House-88,Road-13/A,Block D,Banani,Dhaka-1213, 1213 Dhaka"
24,5,Lulu's Fryhouse,Fried Chicken,15.0,5.0,"Gulshan-2 1212 Dhaka, Dhaka Division, Bangladesh"
25,3,Ayaat's Kitchen,Bangladeshi,5.0,15.0,"House 8, Road 11, gudaraghat, Middle Badda Badda Dhaka, 1212 Dhaka"
26,5,Food Palace,Snacks,17.0,3.0,"House No. SWF 4/A, Road No. 1, Gulshan 1 (Northern Gate of Dr. Fazle Rabbi Park & Near to Niketon Gate 1), Dhaka, 1212 Dhaka"
27,4,Mr. Gosto,Fast Food,20.0,0.0,"ECB Chattar Bus Stand, Dhaka, 1216 Dhaka"
28,5,Hokar - pandago,Dessert,14.0,6.0,"Dhaka, Bangladesh"
29,4,Pizza & Burger,Fast Food,20.0,0.0,"Dhaka, Bangladesh"
30,4,Hungry Pizza Lovers,Fast Food,6.0,14.0,"house 22, read 13c , block E, Banani, near by Turkish bazaar restaurant and pinewood Café., 1212 Dhaka"
31,5,The Chocolate Room- Gulshan 2,Dessert,1.0,19.0,"1st Floor, Plot-2A, Block NW (H), Nasrin Casabella, Gulshan North Avenue, Gulshan-2, 1212 Dhaka"
32,5,Jaber Plus Hot Cake,Dessert,1.0,19.0,"Block # D, Section # 11, Line # 27, House # 28, Mirpur,(opposite Faysal.s Hot Cake), 1216 Dhaka"
33,5,Purple Patisserie,Cakes & Bakery,3.0,17.0,"Dhaka, Bangladesh"
34,5,Pizza Bari,Italian,3.0,17.0,"Dhaka, Bangladesh"
35,3,Bismillah Hotel Restaurant & Kabab Ghar,Bangladeshi,11.0,9.0,"7/1 main road Mohammadia housing scociety Mohammadpur, 1207 Dhaka"
36,3,Bhaat Ghor - Bashundhara,Bangladeshi,14.0,6.0,"House No. 3/5, Topkhana Road, Segun Bagicha, Dhaka, 1000 Dhaka"
37,4,Patty Boyz,Fast Food,2.0,18.0,"25/24, Block-C, Tajmahal road, Near Tung Tang Restaurant, Mohammadpur, Dhaka 1207, 1207 Dhaka"
38,4,Hot & Shot,Fast Food,3.0,17.0,"Dhaka, Bangladesh"
39,7,Bhai Indian Dosa ,Indian,3.0,17.0,"74/B/1, R H Home Centre, Farmgate Green Road, Dhaka-1215, 1215 Dhaka"
40,7,Hawlader Biriyani House,Indian,7.0,13.0,"Road 1, plot no:11, Backside of Shah Ali Plaza Market, Mirpur 10, Dhaka, 1216 Dhaka"
41,5,Lily's Secret Recipe,Snacks,16.0,4.0,"4th Floor ,House#103 , Road-12, Block-F, Bashundhara- R/A, 1229 Dhaka"
42,3,Pallabi Kitchen House,Bangladeshi,2.0,18.0,"Road -9,House-01,Black -c, Pallabi, mirpur -12 ( old pallbi thana), 1216 Dhaka"
43,3,Bhojon Bilash,Bangladeshi,6.0,14.0,"Shop#64, 2nd floor, DNCC Kacha Bazar, Close to Gulshan Masjid, Gulshan 2, 1212 Dhaka"
44,4,MasterÃ¢â‚¬â„¢s Cafe & Juice Bar,Fast Food,,,
45,5,Treat Mini Chinese & Restaurant,Asian,12.0,8.0,"Dhaka, Bangladesh"
46,4,Burger Hut BD,Fast Food,3.0,17.0,"Dhaka, Bangladesh"
47,2,Pizza Inn - Gulshan,Pizza,11.0,9.0,"House-76, Road-127, Gulshan Ave, Dhaka 1212, 1212 Dhaka"
48,3,Best Home Kitchen Food,Bangladeshi,1.0,19.0,"Dhaka, Bangladesh"
49,4,Pimentos,Fast Food,12.0,8.0,"House-90 Rd No.17A, Dhaka 1213, 1213 Dhaka"
50,5,Smith's Pizza,Italian,2.0,18.0,"Dhaka, Bangladesh"
51,3,Kiki's Artisan Bites-Homemade,Bangladeshi,15.0,5.0,"Dhaka, Bangladesh"
52,5,Iqra Thai & Chinese Restaurant,Chinese,14.0,6.0,"586 Shewrapara.Rokeya Sorani.Mirpur. Dhaka 1216, 1216 Dhaka"
53,5,Celebrate Cafe & Restaurant,Asian,1.0,19.0,"House # 191, Road # 10, Block # B, Sec # 12, Pallabi, Mirpur, Dhaka, 1216 Dhaka"
54,4,Crown Cafe,Fast Food,2.0,18.0,"10th floor, safura food village, Safura trade city, 1 Sujat Nagar (Aarong building), Pallabi, Mirpur-12,Dhaka-1216., 1216 Dhaka"
55,5,Bluebird Restaurant and Party Centre,Chinese,6.0,14.0,"House-99, Mili Super Tower 2, Beside Dutch-Bangla ATM Booth, Ashkona, Dakkhinkhan, 1230 Dhaka"
56,2,Pizza Garage-Panthapath,Pizza,1.0,19.0,"57/14, East Raja Bazar, Panthapath, Dhaka-1205, 1205 Dhaka"
57,4,Foodox,Fast Food,5.0,15.0,"Dhaka, Bangladesh"
58,5,Krua Thai,Thai,12.0,8.0,"Dhaka, Bangladesh"
59,4,Pasta Cloud,Fast Food,19.0,1.0,"Dhaka, Bangladesh"
60,5,Tuktuk,Japanese,7.0,13.0,"Road 71, House 4C, Gulshan North Ave, Gulshan 2, close to Pakistan High Commission, 1212 Dhaka"
61,5,B.J Cafe & Restaurant,Chinese,14.0,6.0,"B.J. Cafe & Restaurant...Party Center, Matikata Road, Cantonment, Dhaka, Dhaka, 1206 Dhaka"
62,5,Shahanaz's Kitchen,Snacks,16.0,4.0,"Dhaka, Bangladesh"
63,5,Meal Box,Rice Dishes,4.0,16.0,"House:G.p.go 20/8 Taha Monjil, Mohakhali, 1212 Dhaka"
64,5,Trofi,Snacks,14.0,6.0,"260 Malibagh, Concrite Sareng Tower, Oppesite of Kuheli Building, 1217 Dhaka"
65,5,Blend,Beverage,9.0,11.0,"Captains Avenue 55/1 siddeshwari road,(opposite of viqarunnisa school),Dhaka-1217., 1217 Dhaka"
66,5,Hashi's Kitchen,Snacks,5.0,15.0,"House-5/3 Quazi Tower South Badda close to ( sheesh kabab) Badda Dhaka-1212, 1212 Dhaka"
67,5,Cafe Darling,Snacks,5.0,15.0,"152/2A, Rowshan Tower,Panthapath, Dhaka-1205, 1205 Dhaka"
68,3,Bangali Khabar,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
69,5,Juice Hub,Juice Corner,19.0,1.0,"House-488 Abdus Sobhan Road Ground Zero Complex Basundhara Dhaka-1212, 1212 Dhaka"
70,4,Savor Food - Mirpur,Fast Food,18.0,2.0,"Dhaka, Bangladesh"
71,4,OFC,Fast Food,2.0,18.0,"Dhaka, Bangladesh"
