,name,rating,address,delivery_provider,main_cuisine
2859,Thoreo's,4.6,"55/2, Matikata, Dhaka Cantonment , Dhaka, 1206 Dhaka",platform_delivery,Fast Food
2194,Asian Express,4.5,"Mohakhali DOHS, 1212 Dhaka",platform_delivery,Asian
3179,American Burger Gulshan 2,4.5,"Shop# 21, Road # 46, 1212 Dhaka",dine_in,Burgers
3577,Xinxian Restaurant Dhanmondi,4.4,"House no. 7, Road no. 8, Dhanmondi, 1205 Dhaka",platform_delivery,Chinese
4069,China101,4.3,"House no-101, Road no-13/A, Block C, Banani, Dhaka, 1213 Dhaka",platform_delivery,Thai
1414,Tuktuk,4.3,"Road 71, House 4C, Gulshan North Ave, Gulshan 2, close to Pakistan High Commission, 1212 Dhaka",platform_delivery,Japanese
208,Sushi Tei,4.3,"House: 21, Road: 112, Gulshan 2, 1212 Dhaka",platform_delivery,Japanese
514,Munmun's Kitchen,4.3,"1st floor,35/2 kazi nazrul islam avenue ,dhaka 1205, 1205 Dhaka",dine_in,Asian
3719,The Courtyard at Park Heights,4.3,"Bay's Park Heights, House 2, Road 9, Dhanmondi, 1205 Dhaka",platform_delivery,Fast Food
220,Fuchka Bhai,4.3,"Road # 46, Opposite to Landmark Tower, Gulshan 2, 1212 Dhaka",platform_delivery,Snacks
1946,Binti's Kitchen,4.2,"Ba 2/2, Latif Kingdom, South Badda Road, Hatir Jheel (Behind Police Plaza Round Circle), Dhaka, 1212 Dhaka",platform_delivery,Bangladeshi
3298,Chows - Delivery- Banani (pandago),4.2,"Hs 6, Rd 19A, Banani Block E, 1213 Dhaka",platform_delivery,Chinese
1226,Pizza Inn - Gulshan,4.2,"House-76, Road-127, Gulshan Ave, Dhaka 1212, 1212 Dhaka",dine_in,Pizza
1813,The Courtyard Bazaar,4.2,"House No. 21, Road No.112, Gulshan - 2 Dhaka, 1212 Dhaka",platform_delivery,International
1927,Mayer Dua Fuska & Chotpoti House,4.2,"House#02, Road#11 (Love Road), Block#H, Mirpur-02, 1216 Dhaka",platform_delivery,Snacks
1480,Hashi's Kitchen,4.2,"House-5/3 Quazi Tower South Badda close to ( sheesh kabab) Badda Dhaka-1212, 1212 Dhaka",platform_delivery,Snacks
3242,Big Bite - Sonargaon Road,4.2,"Hakim Centre, 22/B/2 Ground Floor Sonargaon Road, Dhaka 1205, 1205 Dhaka",platform_delivery,Fast Food
3507,Khabar Ghor Restora,4.2,"Godhuli Market, Shiroil Bus Terminal, 6000 Rajshahi",platform_delivery,Bangladeshi
2331,Prolog,4.2,"Shop 5A-016, Level 5, Zone A, Jamuna Future Park, Pragati Shoroni, 1229 Dhaka",dine_in,Beverage
3824,Vintage Bake & Cafe - Bangla Motor,4.2,"25,26,27 Kazi Nazrul Islam Avenue,Bangla Motor,Dhaka -1000, 1000 Dhaka",dine_in,Cafe
4096,La Bamba Dhanmondi,4.2,"Jobeda Complex, House No. 99, Road No.11/A, Shatmosjid Road, Dhanmondi, Dhaka, 1205 Dhaka",dine_in,Fast Food
3790,Unicafe Restaurant and Fun - Panthapath,4.2,"21/3, Near of Square hospital, Upstair of Shawapno, Panthapath, Dhaka - 1215, 1215 Dhaka",platform_delivery,Cafe
367,Pizza Burg - Banasree,4.1,"House: 23, Road: 5, Block: D, Banasree, 1219 Dhaka",platform_delivery,Fast Food
4142,Lone Star Steakhouse,4.1,"2nd Floor, House No 99, Road No 11/A, Satmasjid Road, Dhaka 1209, 1209 Dhaka",platform_delivery,Steak
3990,Pizza Party,4.1,"road no.10,lake side,front of panshi community center,kalabagan,Dhanmondi dhaka 1205, 1209 Dhaka",platform_delivery,Italian
637,Kapara Kafe,4.1,"House-88,Road-13/A,Block D,Banani,Dhaka-1213, 1213 Dhaka",dine_in,Indian
35,Cox's Bazar Chotpoti House,4.1,"House 37/ Road 3/ Block B/ Rampura, Banasree, 1219 Dhaka",platform_delivery,Fast Food
58,Coffee Lime,4.1,"361/1 Old Elephant Road, SJ Jahanara imami Sarani Dhaka-1205, 1205 Dhaka",vendor_delivery,Beverage
2738,Ichi,4.1,"House-32, Rd-11, Banani Block-G, Level 2, 1213 Dhaka",platform_delivery,Japanese
2000,Haque Bakery & Sweets - Shahjadpur,4.1,"Khil Bari Tech Road,?????????, ??? ????? ???? ??? ?? ?????? ( Opposite side of confidence tower), 1212 Dhaka",platform_delivery,Fast Food
3972,Tehari Avenue,4.1,"House 6, Road 23/A, Ground floor of new sub post office, Gulshan-01, Dhaka, 1212 Dhaka",platform_delivery,Biryani
3649,Humble Crumble - Bashundhara,4.0,"Humble crumble, 2nd floor, Rajbari Food Court, Bashundhara residential area, 1229 Dhaka",platform_delivery,Juice Corner
2570,Sakhora Pizza & Burger,4.0,"Z/16 Tajmahal Road, Mohammadpur, 1207 Dhaka",platform_delivery,Fast Food
2275,Cheese Factory - Mohammadpur,4.0,"House: 29, Road: 6, Block: B, Nobodoy Housing, Main Road, Near Beribadh, Adabor, Mohammadpur 1207 Dhaka, 1207 Dhaka",platform_delivery,Fast Food
4046,Man Mo,4.0,"House - 6/a, Road, 113, Gulshan - 2, 1212 Dhaka",dine_in,Asian
2260,Classic Sweets - Gulshan,4.0,"57-B Gulshan shopping center, Gulshan - 1. Besides Bread & Beyond.Beside of Rajuk Commercial Complex Cum Car Parking Bhaban, 1212 Dhaka",platform_delivery,Dessert
2513,Six Season Chinese Restaurant,4.0,"Road # 27/K, House # 1, Rupnagar, R/A More, Near (Medinet Medical Services Limited), Mirpur, 1216 Dhaka",dine_in,Chinese
3739,Chapsthan,4.0,"Urban Void Food Court, Bashundhara R/A, 1229 Dhaka",dine_in,Bangladeshi
701,Food Palace,4.0,"House No. SWF 4/A, Road No. 1, Gulshan 1 (Northern Gate of Dr. Fazle Rabbi Park & Near to Niketon Gate 1), Dhaka, 1212 Dhaka",platform_delivery,Snacks
1419,Meal Box,4.0,"House:G.p.go 20/8 Taha Monjil, Mohakhali, 1212 Dhaka",platform_delivery,Rice Dishes
1324,Celebrate Cafe & Restaurant,3.9,"House # 191, Road # 10, Block # B, Sec # 12, Pallabi, Mirpur, Dhaka, 1216 Dhaka",platform_delivery,Asian
2200,Chef 24,3.9,"Ground Floor, 396/A (Harun Mansion), Uttara Bank Goli, North Shahjahanpur,, 1217 Dhaka",platform_delivery,Fast Food
1814,Allahar Daan Biriyani - New Circular Road,3.9,"93/A, New Circular Road (Close to Mouchak Market), Mouchak, Dhaka - 1217., 1217 Dhaka",platform_delivery,Bangladeshi
2827,Tushty Kitchen,3.9,"Flat 4D, Surma Vaban, Road No - 05, Red Crescent Multiplan City, Zoo Road, Mirpur-1, 1216 Dhaka",platform_delivery,Bangladeshi
529,Allah'r Daan Biriyani House Shonkor,3.9,"236/1A Mawla Bari Pathshala Goli,Rayer Bazar., 1209 Dhaka",platform_delivery,Bangladeshi
1710,Habibyâ€™s Mohammadpur,3.9,"House 79 Gulshan Avenue, Dhaka 1212., 1212 Dhaka",platform_delivery,Asian
2621,Abesh Hotel & Biryani House Delivery - Mirpur 2 (pandago),3.9,"House No-2, Road-2,Block- E, Section- 2, Mirpur, 1216 Dhaka",vendor_delivery,Bangladeshi
1479,Blend,3.9,"Captains Avenue 55/1 siddeshwari road,(opposite of viqarunnisa school),Dhaka-1217., 1217 Dhaka",platform_delivery,Beverage
3750,The Garden BBQ and Cafe,3.9,"1/3 block D, road 27, dhanmondi, 1209 Dhaka",dine_in,Kebab
2548,Encantos,3.9,"Shop no 111, level 03, Haji kujrot ali mollah super market, 1no harunabad, mirpur 12, Dhaka-1216., 1216 Dhaka",dine_in,Fast Food
4013,Wow Momo,3.8,"CSD, Baridhara DOHS, Road 5, 1212 Dhaka",platform_delivery,Snacks
