name,main_cuisine,tags
Bithy's Kitchen,Snacks,bithi kitchen dhaka snack platform deliveri
Shaad Kitchen,Bangladeshi,shaad kitchen dhaka bangladeshi platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic great breakfast burrito dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic wasnt good dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic wrap chicken bit predict tast mayo also simpl cheddar chees ranch sauc would improv tast dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic thin roll price dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic food good dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic absolut disgust butter chicken roll rotten paneet save attroc gross dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic bad smelli dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic cold dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic havet receiv food dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic disast food cold disappoint dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic good dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic order food load sauc amount sauc way less dri enjoy dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic worst wrap ever butter chicken wrap absolut disgust dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic butter chicken roll best opinion grill chicken kolija roll also good bolognes weird tast smell dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic wish spicer option dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic delici especi honey butter wing tri better packag wrap dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic tbh tast bad also worth buy thing price charg dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic prawn tempura roll worst price point dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic remind order version thing big dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic bolognes roll dri lack season tast aw recommend order dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic mess dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic mushroom roll plenti mushroom alfredo sauc improv overal price way high tast quantiti dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic order photo food look good wast got small extra thin roll hardli fill order waster money dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic perfect tast wing keep qualiti dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic increas price everyth fine dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic test good potion size need imporv dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic browni char underneath portion small dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic meat rotten overli salti poor tast dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic packag better dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic gravi salt spici less dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic amaz dhaka fast food platform deliveri
Oh My Rolls (Picnic),Fast Food,oh roll picnic tast bad wast money dhaka fast food platform deliveri
Khichuri & Bhorta Bilash - Mirpur,Bangladeshi,khichuri bhorta bilash mirpur great tast decent price dhaka bangladeshi platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous took almost hour dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous chola hard chew chompchomp dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous food rotten dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous broken puri like heart everyth fine dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous delici enough portion guy provid sinc expand taka dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous worst chotpoti fuchka ever rotten dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous noic dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous good dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous bad much deali portion suffici price rang dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous order store sinc mani day today experienc worst first took hour deliv sent half order although paid fuchka dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous alway order fuchka love fuchka yummi dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous dhaka fast food platform deliveri
Cox's Bazar Chotpoti House,Fast Food,cox bazar chotpoti hous dhaka fast food platform deliveri
