Restaurant Name,Negative Sentiment,Positive Sentiment
0709 Food Club- Khilgaon,1,0
0709 Food Club- Mirpur,1,0
1 Kitchen - Pandago,1,0
10 Minutes Cafe,1,0
100 Takar Khabar,1,0
138 East,1,0
155,1,0
15th Century Coffee and Bakery,1,0
16 Ana - North Shahjahanpur,1,0
1st Mexican Hot Subway,1,0
2 Point O Rooftop Caff,1,0
2.0 Food Station,1,0
2000 Club Fast Food-Uttara,1,0
21 Mentha Place,1,0
24/7 Kitchen Online,1,0
24K,1,0
3 Bites Restaurant,1,0
3 Cheers,1,0
3 Food - Mirpur 14,1,0
3 Idiots Cafe,1,0
3 Star Cake,1,0
3 Star Fast Food Corner & Momo Lovers,1,0
3 Star Tangail Chomchom & Doi Ghor,1,0
30 Minutes Kitchen,1,0
365 Kitchen,1,0
3B Knot Delicacies,1,0
3R Cafe,1,0
3W Meals (pandago),1,0
3sist Food Corner,1,0
3â€™s Coffee & Burger Shop,1,0
4 Sister Hotel & Restaurant,1,0
4 Sisters Restaurant,1,0
4 Son's Kitchen,1,0
4C - Classy Chinese & Convention Corner,1,0
4Cheez,1,0
4Cheez- Premium,1,0
4S Home Chef,1,0
5 vai restaurent,1,0
6 Wings,1,0
6TEEN Cafe and Bistro,1,0
7 Candle Restaurant,1,0
7 Candy,1,0
7 Heaven Cafe & Fuchka House,1,0
7 Miles Cafe & Restro,1,0
7 Miles Fuchka House,1,0
7 Star Biryani House,1,0
7 Star Cake House,6,0
7 Ten 7 Fast Food & Canteen,1,0
75 Chotpoti & Fuchka Ghor,1,0
79 Pizzeria (Wood Fired),1,0
7dayz Delivery (pandago),1,0
8 Candles Cafe & Restaurant,1,0
8 Number Dokan - Bashundhara Gate,1,0
8 Table's Cafe,1,0
8oz Liquid,1,0
90's Cafe,1,0
90's Dhaka,1,0
99 Plus Test,1,0
A Better Choice,1,0
A Cube Burger,1,0
A Hossain Enterprise - Gulistan - pandago,1,0
A Hossain Enterprise - Kawran Bazar - pandago,1,0
A Hossain Enterprise - Sundorbon Square Market - pandago,1,0
A LA KING,1,0
A Saucy Kitchen,1,0
A&W - Gulshan,1,0
A. N Shawarma House,1,0
A.R Food,1,0
AB Cafe,1,0
ABASARE KITCHEN,1,0
AD Biryani House & Juice Corner,1,0
ADDA Plus (Grand Mughal Kacchi),1,0
AFC,1,0
AFC - Brahmanbaria,1,0
AFC - Joydebpur,1,0
AFC - Mirpur 13,1,0
AFC Food Agrabad,1,0
AFC Fuchka House,1,0
AFC Rangpur,1,0
AFC Restaurant,1,0
AFF & Pastry shop,1,0
AG AGRO Food Ltd,1,0
AG Food - Dinajpur,1,0
AG Food- Lalmatia,1,0
AG Foods - Badda,1,0
AG Foodâ€™s Restaurant,1,0
AH Momo's World,1,0
AJFC Food Corner,1,0
AK Hazi Biryani - Bridge More,1,0
AK Home Kitchen,1,0
AL BARAKA HOTEL AND RESTAURANT BRANCH-2,1,0
AL-Falaq Sweets & Bakery,1,0
AL-Mahmud Chicken Adda & Shahi Burger,1,0
AMY'S PIZZA,1,0
AN BD Kitchen,1,0
AR Food Express,1,0
ARB Foods,1,0
AS Food Star,1,0
ASPARAGUS,1,0
AUSBD Kitchen - Gulshan,1,0
AVA FOODZ,1,0
AVALON,1,0
AZ Home Food,1,0
Aaate Achar,1,0
Aadhya's Kitchen,1,0
Aaheli Kabab & Restaurant,1,0
Aaira's Cuisine,1,0
Aajee Multi Cuisine,1,0
Aamal - Katasur,1,0
Aamantran - Bashundhara City,1,0
Aamej - Mirpur,1,0
Aanabia's Kitchen,1,0
Aashiqi  Restaurant And Biryani House,1,0
Aasim Fuchka Chotpoti & Fast Food,1,0
Aayra's Kitchen,1,0
Aaysha Snack Bar and Juice Corner,1,0
Ab Akhi Cooking House,1,0
Abacus Restaurant - Gulshan 1,1,0
Abar Khabo,1,0
Abar Khabo Fuchka House,1,0
Abar Khabo Home Kitchen,1,0
Abar Khabo Hotel & Kabab House,1,0
Abdul Ahad Vaier Shingara,1,0
Abdul Karim Hotel,1,0
Abdul Latif Hotel,1,0
Abdullah Chotpoti O Fuchka House,1,0
Abdullah Hotel & Restora,1,0
Abdullah Sahi Chotpoti And Fuchka House,1,0
Abdullah's,1,0
Abdullah's Dine,1,0
Abdullahâ€™s Kitchen,1,0
Abesh Fish BBQ And Restaurant,1,0
Abesh Hotel & Biryani House Delivery - Mirpur 2 (pandago),84,31
Abhi's Kitchen & Catering,1,0
Abid's Catering,1,0
Abida's Food Court,1,0
Abida's Kitchen,1,0
Abida's Tasty food,1,0
Abir Juice Baar and Fast Food,1,0
Abir Kitchen,1,0
Abir's Home Kitchen,1,0
Abir's Kitchen,2,0
Abisha's Kitchen,1,0
Abloom Cafeteria,1,0
Abrar Restaurant,1,0
Abs Kitchen House,1,0
Absolute BBQ BD,1,0
Absolute Korean - Dhanmondi,1,0
Absolute Thai,1,0
Abul Hotel,1,0
"Abul Hotel Thai, Chinese & Continental Food",1,0
Ac Market Bondhu Fuchka,1,0
Achar,1,0
Achar Ghor,1,0
Acharbari,1,0
ActionAid Bangladesh,1,0
Active Burger,1,0
Adda,2,0
Adda Bari,1,0
Adda Dot,1,0
Adda E Godhuli,1,0
Adda Fuchka & Chotpoti House,1,0
Adda Ghar,1,0
Adda Ghor,1,0
Adda Ghor Restaurant - Barisal,1,0
Adda Kacchi and Kebab In,1,0
Adda Khana - Chawkbazar,1,0
Adda Khana Restaurant,1,0
Adda Point Restaurant,1,0
Adda Prabartana,1,0
Adda Restaurant & Cafe,1,0
Addabaji,2,0
Addabazz Seafood & Kabab Ghor,1,0
Addabuzz Cafe,1,0
Addakhana - Jessore,1,0
Adday Coffee,1,0
Addra's Kitchen,1,0
Address,1,0
Adelyn,1,0
Adhry Kebab House - 2,1,0
Adi  Fokir  Mistanno  Vandar,1,0
Adi Ashta Banjan,1,0
Adi Islamia Restaurant,1,0
Adi Korai Gosto,1,0
Adi Mohanlal - Mirza Jangal,1,0
Adi Nanna Biriyani - Moghbazar,1,0
Adi Nanna Biriyani House,1,0
Adi Nanna Biryani - Paltan,1,0
Adi Nanna Biryani House,1,0
Adi Nanna Sweets,1,0
Adi Rohmania Hotel & Restaurant,1,0
Adi Sagor Sweets - Post Office More,1,0
Adi Savar Bakery & Fast Food,1,0
Adi Shatkhira Ghosh Dairy,1,0
Adi Tamij Uddin Sweets & Bakers,1,0
Adil's Food Valley,1,0
Adilah's Kitchen,1,0
Aditya Kitchen,1,0
Adnan's Delight,1,0
Adnin Plus & Swadesh Sweet,1,0
Adrita Kitchen,1,0
Adrita's Home Kitchen,1,0
Adrok Canteen,1,0
Adrok Pizza,1,0
Adrok Pizza - Chawkbazar,1,0
Adrok Pizza 2,1,0
Adventure Land Restaurant,1,0
Aero Cafe,1,0
Afan Mom's Kitchen,1,0
Afghan B.B.Q,1,0
Afghan Grill Bd,1,0
Afghan Restaurant,1,0
Afghan Restaurant-Iftar Bazar,1,0
Afghanâ€™s Dine,1,0
"Afia Kebab, Biryani & Juice Bar",1,0
Afif Hotel & Restaurant,1,0
Afifa Food House,1,0
Afifa's Cooking House,1,0
Afiya's Kitchen,1,0
Afiyaâ€™s Kitchen,1,0
Afnan Food House,1,0
Afnan's Kitchen,1,0
Afra Biryani Ghor,1,0
Afra's Baking House,1,0
Afra's Kitchen,1,0
Afrea Kitchen,1,0
Afrin Cooking House,1,0
Afrin Kitchen,2,0
Afrin's Kitchen,2,0
Afrinâ€™s Kitchen,1,0
Afroja Bhat Ghor,1,0
Afroz Deli Kitchen,1,0
Afroza Catering,1,0
Afroza's Kitchen,4,0
Afrujas Kitchen,1,0
Afrukta's Kitchen,1,0
Afsana's Food World,1,0
Afsana's Kitchen,1,0
Afsanaâ€™s Kitchen,1,0
Agra Continental Restaurant,1,0
Agro Media,1,0
Aha Food,1,0
Ahammad's Kitchen and Catering Service,1,0
Ahammadia Hotel & Restaurant,1,0
Ahan Food Corner,1,0
Ahar Bangla Khabar,1,0
Ahar Ghor,1,0
Ahar Restaurant - Mirpur,1,0
Ahar Zone,1,0
Ahare,1,0
Aheli Restaurant - Chittagong,1,0
Ahiyan's Rolling Stove,1,0
Ahlade Atkhana,1,0
Ahmed Biryani Ghor,1,0
Ahmed Fuchka and Chotpoti House,1,0
Ahmed Kitchen,1,0
Ahnaf Chinese Food,1,0
Ahona's Kitchen,1,0
Ahons Kitchen,1,0
Ahza's Kitchen,1,0
Aindri,1,0
Airin's Kitchen,1,0
Airin's Kitchen - Uttara,1,0
Aisha's Kitchen,1,0
Aisha's Ranna Ghor,1,0
Aiyan Biriyani House,1,0
Aiyub Mamar Mojadar Chotpoti,1,0
Aiza's Kitchen,1,0
Ajmir Juice Ghor,1,0
Ajob Golla,1,0
Ajwa Restaurant,1,0
Akash Hotel And Restaurant,1,0
Akash Store,1,0
Akbar Bhaier Chotpoti Mama Fuchka,1,0
Akbar Foods,1,0
Akbaria Hotel & Restaurant,1,0
Akboria -Mohammadpur,1,0
Akhi Biryani House,1,0
Akhi's Home Kitchen,1,0
Akhi's Kitchen,2,0
Akhir Ranna Ghor,1,0
Akhri Resto,1,0
Akib Kitchen,1,0
Aklima's Kitchen,1,0
Akter Bhai Chotpoti & Fuchka - Uttara,1,0
Akter's Kitchen,1,0
Al - Baraka Biryani & Burgers-Tootpara,1,0
Al - Modina Restaurant - Sathkhira,1,0
Al Akbar Kacchighor,1,0
Al Amin Academy Canteen,1,0
Al Amin Hotel,1,0
Al Arafat Hotel,1,0
Al Baik Fast Food,1,0
Al Baraka Kitchen,1,0
Al Baraqah Restaurant,1,0
Al Dente,1,0
Al Fahim,1,0
Al Falah Restaurant,1,0
Al Hasan Bakery & Confectionery,1,0
Al Hasan Bakery & Sweets,1,0
Al Imran Restaurant & Kabab House,1,0
Al Imran Restaurant & Kebab House 2,1,0
Al Jazz Restaurant,1,0
Al Kaderia Cafe - West Rampura,1,0
Al Kaderia Express,1,0
Al Kaderia Restaurant - Rampura Bazar,1,0
Al Kareem Restaurant,1,0
Al Madina Biryani House - Mirpur,27,3
Al Madina Biryani House And Fast Food,1,0
Al Madina Cooking & Frozen Kitchen,1,0
Al Madina Fast Food,1,0
Al Madina Fast Food Center,1,0
Al Madina Mini Chinese,1,0
Al Madina Restaurant & Biryani House,1,0
Al Madina Shahi Halim,1,0
Al Madina Tehari Ghor,1,0
Al Mahabub Restora,1,0
Al Makka Biryani House(Biponibag),1,0
Al Mawa Food,1,0
Al Modina Bakery,1,0
Al Modina Fast Food & Cafe,1,0
Al Modina Shahi Kabab - Savar,1,0
Al Mokka Hotel & Biryani House,1,0
Al Muslim Fuchka and Chotpoti,1,0
Al Romanchiya Hotel & Sweets,1,0
Al Saldia Hotel,1,0
Al Shafin Restora,1,0
Al- ArabiQ,1,0
Al- Falah Hotel & Restaurant,1,0
Al-Amin Fuchka & Chotpoti,1,0
Al-Amin Spicy Kebab,1,0
Al-Arafa Mishti Ghor -Sheikhpara,1,0
Al-Arafah Misti Ghor- Dakbangla,1,0
Al-Baik Restaurant,1,0
Al-Baraka Chinese & Restaurant,1,0
Al-Bokdadia Restora,1,0
Al-Ferdous Hotel & Restora - Uttara,1,0
Al-Goni,1,0
Al-Jamir Restaurant,1,0
Al-Karim Chotpoti House,1,0
Al-Madani Restaurant - Savar,1,0
Al-Madina Biryani House,2,0
Al-Madina Hotel & Restaurant-Mirpur-12,1,0
Al-Madina Khabar Hotel,1,0
Al-Madina Restaurant - Savar,1,0
Al-Modina Bangla Khabar Hotel & Restaurant,1,0
Al-Rahmaniya Biryani & Kabab Ghor - Sahajahanpur,1,0
Al-Razzaq Hotel & Restaurant,1,0
Al-Sadia Fast Food,1,0
Aladdin's Shack,1,0
Aladdin's Shack - Bashundhara,1,0
Aladinâ€™s Cafe,1,0
Alaja Italiano,1,0
Alam Restaurant & Kabab House,1,0
Alam's  Restaurant & Cafe,1,0
Alamin Hotel & Restaurant - Tootpara,1,0
Alap Khichuri Ghor,1,0
Alauddin Biryani Bari,1,0
Alauddin Hotel And Restaurant,1,0
Albaik - Uttara,1,0
Albayt BD,1,0
Alex Yang Yang,1,0
Aleya Daal Bora House,1,0
Aleya's Kitchen,1,0
Alfresco-Tejgaon,1,0
Alhamdulillah Dining,1,0
Alhamdulillah Restaurant,1,0
Ali Baba Restaurant & Biryani House,1,0
Ali Dastar Khana,1,0
Ali Ka Food,1,0
Ali Kebab,1,0
Ali Mama Chotpoti and Fuchka,1,0
Ali Pitha Ghor,1,0
Ali Yummy Food,1,0
Alibaba Buffet Lounge,1,0
Alien Cafe,1,0
Aliens Pizza,1,0
Alif Food Delicious,1,0
Alif Food Zone,1,0
Alif Hot Cake,1,0
Alif Kacchi,1,0
Alif Lam Sweet,1,0
Alif Restaurant,2,0
Alif Shyamoli Shushadu Haleem,1,0
Alif's Home Kitchen,1,0
Alifa's Kitchen,1,0
Aliment Touch,1,0
Alisha Home Kitchen,1,0
Alishan Chinese Restaurant,1,0
Alishan Indian Spicy,1,0
Alishan Pizza Sylhet,1,0
Alishan Restaurant- Bangla,1,0
Alishan Shop & Food,1,0
Aliya's Kitchen,1,0
Aliza's Topping,1,0
Alizaâ€™s Kitchen,1,0
Allah Varosha Restaurant,1,0
Allah Vorosha Restaurant & Mishtanno Bhandar,1,0
Allah'ar Daan Biryani House ,85,33
Allah'r Daan Biriyani House Shonkor,65,41
Allah'r Daan Hotel Restaurant & Sweets,1,0
Allah'r Daan Kabab & Coffee House - Mirpur 1,1,0
