,Restaurant Name,Negative Sentiment,Positive Sentiment,Address
0,0709 Food Club- Khilgaon,17,3,"Dhaka, Bangladesh"
1,0709 Food Club- Mirpur,16,4,"Dhaka, Bangladesh"
2,1 Kitchen - Pandago,4,16,"Dhaka, Bangladesh"
3,10 Minutes Cafe,4,16,"Dhaka, Bangladesh"
4,100 Takar Khabar,3,17,"Dhaka, Bangladesh"
5,138 East,8,12,"Dhaka, Bangladesh"
6,155,5,15,"Dhaka, Bangladesh"
7,15th Century Coffee and Bakery,8,12,"Dhaka, Bangladesh"
8,16 Ana - North Shahjahanpur,19,1,"Dhaka, Bangladesh"
9,1st Mexican Hot Subway,12,8,"Dhaka, Bangladesh"
10,2 Point O Rooftop Caff,8,12,"Dhaka, Bangladesh"
11,2.0 Food Station,3,17,"Dhaka, Bangladesh"
12,2000 Club Fast Food-Uttara,1,19,"Dhaka, Bangladesh"
13,21 Mentha Place,18,2,"Dhaka, Bangladesh"
14,24/7 Kitchen Online,10,10,"Dhaka, Bangladesh"
15,24K,1,19,"Dhaka, Bangladesh"
16,3 Bites Restaurant,7,13,"Dhaka, Bangladesh"
17,3 Cheers,7,13,"Dhaka, Bangladesh"
18,3 Food - Mirpur 14,20,0,"Dhaka, Bangladesh"
19,3 Idiots Cafe,11,9,"Dhaka, Bangladesh"
20,3 Star Cake,1,19,"Dhaka, Bangladesh"
21,3 Star Fast Food Corner & Momo Lovers,2,18,"Dhaka, Bangladesh"
22,3 Star Tangail Chomchom & Doi Ghor,20,0,"Dhaka, Bangladesh"
23,30 Minutes Kitchen,6,14,"Dhaka, Bangladesh"
24,365 Kitchen,3,17,"Dhaka, Bangladesh"
25,3B Knot Delicacies,6,14,"Dhaka, Bangladesh"
26,3R Cafe,14,6,"Dhaka, Bangladesh"
27,3W Meals (pandago),13,7,"Dhaka, Bangladesh"
28,3sist Food Corner,10,10,"Dhaka, Bangladesh"
29,3â€™s Coffee & Burger Shop,14,6,"Dhaka, Bangladesh"
30,4 Sister Hotel & Restaurant,6,14,"Dhaka, Bangladesh"
31,4 Sisters Restaurant,8,12,"Dhaka, Bangladesh"
32,4 Son's Kitchen,7,13,"Dhaka, Bangladesh"
33,4C - Classy Chinese & Convention Corner,2,18,"Dhaka, Bangladesh"
34,4Cheez,3,17,"Dhaka, Bangladesh"
35,4Cheez- Premium,9,11,"Dhaka, Bangladesh"
36,4S Home Chef,7,13,"Dhaka, Bangladesh"
37,5 vai restaurent,12,8,"Dhaka, Bangladesh"
38,6 Wings,14,6,"Dhaka, Bangladesh"
39,6TEEN Cafe and Bistro,3,17,"Dhaka, Bangladesh"
40,7 Candle Restaurant,14,6,"Dhaka, Bangladesh"
41,7 Candy,17,3,"Dhaka, Bangladesh"
42,7 Heaven Cafe & Fuchka House,5,15,"Dhaka, Bangladesh"
43,7 Miles Cafe & Restro,6,14,"Dhaka, Bangladesh"
44,7 Miles Fuchka House,11,9,"Dhaka, Bangladesh"
45,7 Star Biryani House,20,0,"Dhaka, Bangladesh"
46,7 Star Cake House,9,11,"377/A Chapra Mosjid ( Dondew school road ) Pirerbagh, 60 feet Dhaka, Mirpur 2, 1216 Dhaka"
53,7 Ten 7 Fast Food & Canteen,8,12,"Dhaka, Bangladesh"
54,75 Chotpoti & Fuchka Ghor,17,3,"Dhaka, Bangladesh"
55,79 Pizzeria (Wood Fired),9,11,"Dhaka, Bangladesh"
56,7dayz Delivery (pandago),4,16,"Dhaka, Bangladesh"
57,8 Candles Cafe & Restaurant,6,14,"Dhaka, Bangladesh"
58,8 Number Dokan - Bashundhara Gate,3,17,"Dhaka, Bangladesh"
59,8 Table's Cafe,17,3,"Dhaka, Bangladesh"
60,8oz Liquid,1,19,"Dhaka, Bangladesh"
61,90's Cafe,8,12,"Dhaka, Bangladesh"
62,90's Dhaka,17,3,"Dhaka, Bangladesh"
63,99 Plus Test,3,17,"Dhaka, Bangladesh"
64,A Better Choice,15,5,"Dhaka, Bangladesh"
65,A Cube Burger,6,14,"Dhaka, Bangladesh"
66,A Hossain Enterprise - Gulistan - pandago,4,16,"Dhaka, Bangladesh"
67,A Hossain Enterprise - Kawran Bazar - pandago,7,13,"Dhaka, Bangladesh"
68,A Hossain Enterprise - Sundorbon Square Market - pandago,4,16,"Dhaka, Bangladesh"
69,A LA KING,5,15,"Dhaka, Bangladesh"
70,A Saucy Kitchen,18,2,"Dhaka, Bangladesh"
71,A&W - Gulshan,5,15,"Dhaka, Bangladesh"
72,A. N Shawarma House,11,9,"Dhaka, Bangladesh"
73,A.R Food,10,10,"Dhaka, Bangladesh"
74,AB Cafe,16,4,"Dhaka, Bangladesh"
75,ABASARE KITCHEN,1,19,"Dhaka, Bangladesh"
76,AD Biryani House & Juice Corner,11,9,"Dhaka, Bangladesh"
77,ADDA Plus (Grand Mughal Kacchi),11,9,"Dhaka, Bangladesh"
78,AFC,6,14,"Dhaka, Bangladesh"
79,AFC - Brahmanbaria,13,7,"Dhaka, Bangladesh"
80,AFC - Joydebpur,2,18,"Dhaka, Bangladesh"
81,AFC - Mirpur 13,16,4,"Dhaka, Bangladesh"
82,AFC Food Agrabad,10,10,"Dhaka, Bangladesh"
83,AFC Fuchka House,16,4,"Dhaka, Bangladesh"
84,AFC Rangpur,7,13,"Dhaka, Bangladesh"
